ID,NOMBRE,COORDENADAS,DIRECCIÓN,C.P.,POBLACIÓN
70200,GUADALAJARA,"(40,534668; -3,2985719)","CALLE FRANCISCO ARITIO, S/N",19004,GUADALAJARA
70105,AZUQUECA,"(40,56104; -3,265446)","PASEO ESTACION FERROCARRIL, S/N",19200,AZUQUECA DE HENARES
70108,COSLADA,"(40,4241947; -3,5602359)","CALLE DOCTOR FLEMING, S/N",21820,COSLADA
18001,MADRID-RECOLETOS,"(40,423371; -3,690995)","PASEO DE RECOLETOS, S/N",28001,MADRID
18005,PIRAMIDES,"(40,402516; -3,711374)","PASEO DE LAS ACACIAS - DOCTOR VALLEJO NAJERA, S/N",28005,MADRID
10000,MADRID-PRINCIPE PIO,"(40,421389; -3,718968)","PASEO DE LA FLORIDA, 2",28008,MADRID
35609,EMBAJADORES,"(40,404609; -3,702592)","GLORIETA EMBAJADORES, 6",28012,MADRID
18101,SOL,"(40,416856; -3,702904)","PUERTA DEL SOL, S/N",28013,MADRID
70002,ASAMBLEA DE MADRID-ENTREVIAS,"(40,3814976; -3,667215)","AVENIDA DE ENTREVIAS, S/N",28018,MADRID
37001,VILLAVERDE ALTO,"(40,341622; -3,712565)","CALLE DOMINGO PARRAGA, 42",28021,MADRID
60100,VILLAVERDE BAJO,"(40,3555397; -3,6832514)","CALLE ESTACION FERROCARRIL, S/N",28021,MADRID
60101,SAN CRISTOBAL INDUSTRIAL,"(40,3320318; -3,6963666)","CALLE TRANSVERSAL SEXTA, S/N (POLIGONO INDUSTRIAL DE VILLAVERDE)",28021,MADRID
60107,SAN CRISTOBAL DE LOS ANGELES,"(40,3419854; -3,683232)","CARRETERA DE ANDALUCIA, KM 10.700",28021,MADRID
10001,ARAVACA,"(40,448345; -3,786191)","AVENIDA DEL TALGO - CALLE DE LAS ROSAS, S/N",28023,MADRID
35603,CUATRO VIENTOS,"(40,377714; -3,791574)","CALLE ROBERT DE CAPA, 26",28024,MADRID
35702,DOCE DE OCTUBRE,"(40,379224; -3,698976)","CALLE TOMELLOSO, 59",28026,MADRID
70001,VALLECAS,"(40,382264; -3,624931)","Avenida de la Democracia, 1",28031,MADRID
70003,EL POZO,"(40,3765168; -3,6564132)","CAMINO DE HORMIGUERAS, S/N",28031,MADRID
70109,SANTA EUGENIA,"(40,3877971; -3,6087501)","AVENIDA SANTA EUGENIA, 9",28031,MADRID
17001,FUENCARRAL,"(40,5024656; -3,6817503)","CALLE ANTONIO CABEZON, S/N",28034,MADRID
97200,MIRASIERRA,"(40,499759; -3,709755)","CALLE DEL MONASTERIO DE LA HUELGAS, S/N",28034,MADRID
97201,RAMON Y CAJAL,"(40,4880223; -3,6935145)","CARRETERA M-607 A COLMENAR, KM. 6.100",28034,MADRID
97100,PITIS,"(40,4956316; -3,7256015)","CALLE GLORIA FUERTES, S/N",28035,MADRID
17000,MADRID-CHAMARTIN,"(40,4732797; -3,6818974)","CALLE AGUSTIN DE FOXA, S/N",28036,MADRID
35703,ORCASITAS,"(40,367081; -3,704244)","CALLE CAMPOTEJAR, 25",28041,MADRID
35704,PUENTE ALCOCER,"(40,350418; -3,705122)","CALLE ALCOCER, 54",28041,MADRID
98305,AEROPUERTO T-4,"(40,491691; -3,593988)",CARRETERA M-12 - TERMINAL AEROPUERTO T4 - BARAJAS,28042,MADRID
35601,FANJUL,"(40,38367; -3,768496)","AVENIDA DE LAS AGUILAS, 25",28044,MADRID
35602,LAS AGUILAS,"(40,381009; -3,780187)","AVENIDA DE LAS AGUILAS, 144",28044,MADRID
18000,MADRID-ATOCHA CERCANIAS,"(40,406556; -3,689508)","PLAZA DEL EMPERADOR CARLOS V, S/N",28045,MADRID
18003,MENDEZ ALVARO,"(40,395419; -3,678137)","CALLE DEL OMBU, S/N",28045,MADRID
18004,DELICIAS,"(40,400381; -3,692712)","PASEO DE LAS DELICIAS, 61",28045,MADRID
35701,MENDEZ ALVARO,"(40,395735; -3,677847)","CALLE PEDRO BOSCH, S/N",28045,MADRID
18002,MADRID-NUEVOS MINISTERIOS,"(40,446612; -3,692207)","CALLE RAIMUNDO FERNANDEZ VILLAVERDE, 69",28046,MADRID
35600,ALUCHE,"(40,385738; -3,760807)","AVENIDA DE LOS POBLADOS, S/N",28047,MADRID
35608,LAGUNA,"(40,399006; -3,744225)","CALLE ALHAMBRA, S/N",28047,MADRID
17003,EL GOLOSO,"(40,558808; -3,713966)","CARRETERA COLMENAR VIEJO, KM 18",28049,MADRID
17009,UNIVERSIDAD-CANTOBLANCO,"(40,543818; -3,700217)","CARRETERA M-607 DE COLMENAR VIEJO KM 15.600 - ESTACION FERROCARRIL, S/N",28049,MADRID
19001,UNIVERSIDAD PONTIFICIA DE COMILLAS,"(40,55412; -3,683267)","CARRETERA M-616 - ESTACION FERROCARRIL, S/N",28049,ALCOBENDAS
98003,FUENTE DE LA MORA,"(40,484729; -3,662833)","CALLE DULCE CHACON, S/N",28050,MADRID
70100,VICALVARO,"(40,401043; -3,5952733)","CALLE SAN CIPRIANO, 85",28052,MADRID
98304,VALDEBEBAS,"(40,48207; -3,616414)","AVENIDA DE LAS FUERZAS ARMADAS, S/N",28055,MADRID
19002,VALDELASFUENTES,"(40,547425; -3,654149)","CALLE MARQUES DE LA VALDAVIA, S/N",28100,ALCOBENDAS
19003,ALCOBENDAS SAN SEBASTIAN DE LOS REYES,"(40,546744; -3,635149)","AVENIDA DE ESPAÑA, 52",28100,SAN SEBASTIÁN DE LOS REYES
10007,MAJADAHONDA,"(40,474347; -3,845334)","CARRETERA DEL PLANTIO, S/N",28221,MAJADAHONDA
10002,POZUELO,"(40,447225; -3,800145)","CALLE ANTONIO DIAZ, 1",28224,POZUELO DE ALARCÓN
10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,"(40,465299; -3,807828)","CALLE RAFAEL BOTI, 62",28224,POZUELO DE ALARCÓN
10005,LAS ROZAS,"(40,494215; -3,868181)","CALLE SAN SEBASTIAN, S/N",28230,LAS ROZAS DE MADRID
10100,PINAR DE LAS ROZAS,"(40,522282; -3,882258)","AVENIDA DE LOS BOMBEROS, S/N",28230,LAS ROZAS DE MADRID
10103,TORRELODONES,"(40,574559; -3,956577)","PLAZA SALVADOR SANCHEZ FRASCUELO, 1",28250,TORRELODONES
10203,EL ESCORIAL,"(40,585279; -4,132418)","CALLE SANTA ROSA, 85",28280,EL ESCORIAL
10101,LAS MATAS,"(40,552415; -3,896791)","PLAZA DEL FERROCARRIL, S/N",28290,LAS ROZAS DE MADRID
10201,SAN YAGO,"(40,617864; -4,031106)","AVENIDA SALTOS DEL SIL, 1",28292,GALAPAGAR
10202,LAS ZORRERAS-NAVALQUEJIGO,"(40,609265; -4,046336)","CALLE ESTACION FERROCARRIL, S/N",28292,EL ESCORIAL
60200,ARANJUEZ,"(40,0347255; -3,6182069)","PASEO ESTACION FERROCARRIL, S/N",28300,ARANJUEZ
60103,PINTO,"(40,2429829; -3,7036534)","CALLE CRISTO, S/N",28320,PINTO
60104,VALDEMORO,"(40,1958184; -3,6646737)","PLAZA ESTACION FERROCARRIL, S/N",28340,VALDEMORO
60105,CIEMPOZUELOS,"(40,1590641; -3,610221)","AVENIDA DE SAN JUAN DE DIOS, S/N",28350,CIEMPOZUELOS
10200,VILLALBA DE GUADARRAMA,"(40,626522; -4,00812)","PLAZA ESTACION FERROCARRIL, S/N",28400,COLLADO VILLALBA
12001,LOS NEGRALES,"(40,63856; -4,021915)","CALLE PARALELA, 11",28409,ALPEDRETE
10104,GALAPAGAR-LA NAVATA,"(40,600159; -3,981913)","CARRETERA DE GALAPAGAR A LA NAVATA, S/N",28420,GALAPAGAR
12002,ALPEDRETE,"(40,658096; -4,034996)","CAMINO DE LA ESTACION, 34",28439,ALPEDRETE
12004,COLLADO MEDIANO,"(40,692757; -4,035894)","CALLE REAL, 73",28450,COLLADO MEDIANO
12005,LOS MOLINOS-GUADARRAMA,"(40,706598; -4,067179)","PASEO PEDRO GUTIERREZ, S/N",28460,LOS MOLINOS
12006,CERCEDILLA,"(40,737516; -4,066481)","CALLE EMILIO SERRANO, 30",28470,CERCEDILLA
12020,PUERTO DE NAVACERRADA,"(40,784445; -4,004772)","CALLE VITORIA, 1",28470,CERCEDILLA
17004,TRES CANTOS,"(40,598596; -3,7156)","PLAZA ESTACION FERROCARRIL, 1",28760,TRES CANTOS
17005,COLMENAR VIEJO,"(40,645211; -3,776617)","AVENIDA DE LA LIBERTAD, S/N",28770,COLMENAR VIEJO
70111,LA GARENA,"(40,4807624; -3,3919677)","CALLE FAUSTO ELHUYAR, S/N",28806,ALCALÁ DE HENARES
70103,ALCALA DE HENARES,"(40,488976; -3,3664702)","PASEO ESTACION FERROCARRIL, S/N",28807,ALCALÁ DE HENARES
70107,ALCALA DE HENARES-UNIVERSIDAD,"(40,5054503; -3,3353684)","CARRETERA CAMPUS UNIVERSITARIO DE ALCALA, S/N",28807,ALCALÁ DE HENARES
70101,SAN FERNANDO DE HENARES,"(40,4424319; -3,5342411)","AVENIDA DE SAN PABLO, S/N",28830,SAN FERNANDO DE HENARES
70102,TORREJON DE ARDOZ,"(40,4547456; -3,4797065)","PLAZA ESTACION FERROCARRIL, S/N",28850,TORREJÓN DE ARDOZ
70112,SOTO DEL HENARES,"(40,464383; -3,440614)","AVENIDA JORGE OTEIZA, S/N",28850,TORREJÓN DE ARDOZ
70104,MECO,"(40,534668; -3,2985719)","CARRETERA ESTACION FERROCARRIL, S/N",28880,MECO
37011,GETAFE-SECTOR 3,"(40,288252; -3,737529)","CAMINO VIEJO DE TOLEDO, S/N",28901,GETAFE
37002,GETAFE-CENTRO,"(40,309974; -3,733989)","PASEO ESTACION FERROCARRIL, S/N",28902,GETAFE
37010,LAS MARGARITAS,"(40,323041; -3,727278)","CALLE MADRID, 155",28903,GETAFE
60102,GETAFE-INDUSTRIAL,"(40,3055338; -3,7073714)","AVENIDA DE LOS ANGELES, S/N",28903,GETAFE
60109,EL CASAR,"(40,3184029; -3,7092335)","AVENIDA DEL CASAR, S/N",28903,GETAFE
35001,LEGANES,"(40,328633; -3,771162)","CALLE VIRGEN DEL CAMINO, 2",28911,LEGANÉS
35011,PARQUE POLVORANCA,"(40,312544; -3,783546)","CALLE ARGANDA DEL REY, 6",28914,LEGANÉS
35009,ZARZAQUEMADA,"(40,3409732; -3,7482259)","CALLE DEL RONCAL, 7",28915,LEGANÉS
35605,ALCORCON,"(40,350199; -3,831678)","AVENIDA DE MOSTOLES, 4",28922,ALCORCÓN
35610,LAS RETAMAS,"(40,341869; -3,842311)","AVENIDA DE MOSTOLES, S/N",28922,ALCORCÓN
35604,SAN JOSE DE VALDERAS,"(40,356574; -3,815577)","AVENIDA DE LISBOA, S/N",28924,ALCORCÓN
35606,MOSTOLES,"(40,328724; -3,863478)","PASEO DE GOYA, S/N",28932,MÓSTOLES
35607,MOSTOLES-EL SOTO,"(40,330971; -3,882441)","CALLE GRANADA, 10",28935,MÓSTOLES
35002,FUENLABRADA,"(40,283135; -3,799565)","PASEO DE ROMA, 1",28944,FUENLABRADA
35010,LA SERNA-FUENLABRADA,"(40,296725; -3,792477)","CALLE DE BARCELONA, 28",28945,FUENLABRADA
35012,HUMANES,"(40,255565; -3,828334)","CALLE ESTACION FERROCARRIL, 5",28970,HUMANES DE MADRID
37012,PARLA,"(40,241032; -3,769312)","CALLE REAL, S/N",28981,PARLA
12023,LOS COTOS,"(40,822239; -3,964546)","CARRETERA C-604 - ESTACION FERROCARRIL, S/N",40100,REAL SITIO DE SAN ILDEFONSO
